WKT,GEOID,week_ending,biweekly_average_pm_pred,biweekly_average_pm_var,biweekly_average_o3_pred,biweekly_average_o3_var
"POINT (-751891.735809772 1897129.74117282)",08031004106,2014/04/20,5.0502166028363,1.10595811976912,51.408155379438,12.736630998455
"POINT (-753885.244523157 1897174.80263756)",08031004107,2014/04/20,5.05911609177009,1.09822809672698,51.4081549660413,12.7366306277639
"POINT (-757365.065132073 1894086.22607241)",08031004201,2014/04/20,5.01263381067231,1.06552910307242,51.6785450376544,12.5376035107097
"POINT (-755795.554182108 1893939.04816336)",08031004202,2014/04/20,5.03535010434624,1.09926132826593,51.678564365029,12.5376176023502
"POINT (-757843.524647729 1892701.45195477)",08031004301,2014/04/20,5.03084037632346,1.06809209208078,51.6785585172823,12.5376133387951
"POINT (-757075.034743722 1892634.1010422)",08031004302,2014/04/20,5.03375309430242,1.08875193248003,51.678563484012,12.5376169600093
"POINT (-757659.981666176 1891052.49017898)",08031004303,2014/04/20,5.04919775328636,1.0943663159522,51.6785654700719,12.5376184080249
"POINT (-755935.522284827 1892518.17201644)",08031004304,2014/04/20,5.03914605872714,1.10209717963322,51.6785656116303,12.5376185112334
"POINT (-756089.506233657 1890922.27393588)",08031004306,2014/04/20,5.04383676194492,1.10529973483426,51.678566010438,12.5376188019993
"POINT (-754280.827309721 1893660.93145405)",08031004403,2014/04/20,5.04264263758885,1.10683901137437,51.4081552759847,12.7366309056889
"POINT (-754299.35321448 1892775.40756768)",08031004404,2014/04/20,5.04292530480732,1.10748964828683,51.4081553384561,12.7366309617066
"POINT (-754039.505049127 1890869.82764274)",08031004405,2014/04/20,5.04417549722101,1.10871295976197,51.4081553863474,12.7366310046505
"POINT (-767520.596905062 1889980.79981647)",08031004503,2014/04/20,5.32271121214002,1.03874823690248,51.6122378887407,12.7366306096386
"POINT (-767522.279033715 1890792.89635062)",08031004504,2014/04/20,5.35434844901642,0.96911694757218,51.612236847293,12.7366297181065
"POINT (-766306.229762702 1890657.31027641)",08031004505,2014/04/20,5.67729524748773,0.880109697274885,51.6122352921224,12.7366284036359
"POINT (-766351.202499143 1889852.39113538)",08031004506,2014/04/20,5.45110181764794,0.989774137124328,51.6785653030331,12.5376182870749
"POINT (-767656.668318118 1888746.31945091)",08031004601,2014/04/20,5.16955587033353,1.08312690270768,51.612238026537,12.7366307535614
"POINT (-766467.019289413 1888640.05981477)",08031004602,2014/04/20,5.22386973595568,1.0684936640465,51.6785659541285,12.5376187653088
"POINT (-766601.703237733 1887007.50747584)",08031004603,2014/04/20,5.09328568123175,1.09737458129727,51.6785659005087,12.5376187395572
"POINT (-767980.192037254 1887217.4687655)",08031004700,2014/04/20,5.0803483975953,1.10090017389139,51.612236681161,12.7366297695034
"POINT (-768128.514418205 1885538.85746805)",08031004801,2014/04/20,5.05101174694298,1.09866469407902,51.6122330016058,12.7366270620592
"POINT (-756607.102291844 1889168.06664697)",08031005001,2014/04/20,5.04661984699807,1.10713283679459,51.6785660798916,12.5376188526371
"POINT (-755850.857661071 1888762.91046145)",08031005002,2014/04/20,5.04537630749146,1.10840969972481,51.7346938747319,12.736620549949
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/04/20,5.04809421493221,1.10784161465379,51.7346938750938,12.7366205502463
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/04/20,5.05038391271535,1.10728140637988,51.6785660892442,12.5376188594559
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/04/20,5.04578218220711,1.10878144888512,51.7346938771986,12.7366205519746
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/04/20,5.04751399984243,1.10832363409686,51.7346938773802,12.7366205521238
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/04/20,5.03779031629298,1.06600060870101,51.6122339667196,12.7366277710874
"POINT (-767790.896525222 1882434.04245721)",08031005503,2014/04/20,5.02169497580582,0.966285387744565,51.6122351382208,12.7366286180806
"POINT (-756711.205344927 1881012.94485128)",08031006701,2014/04/20,4.66464453198687,1.07852115226149,51.7346938778663,12.7366205525227
"POINT (-755484.01925491 1880955.96509527)",08031006804,2014/04/20,4.6643569594757,1.07881793647127,51.3690476193003,13.0019668141799
"POINT (-756162.206064285 1882589.17071651)",08031006809,2014/04/20,4.66443076739932,1.07877479430428,51.734693877866,12.7366205525227
"POINT (-754804.428414889 1882671.64981612)",08031006810,2014/04/20,4.6642891767079,1.07889908156809,51.7346938778661,12.7366205525228
"POINT (-755163.024308296 1884220.32100911)",08031006811,2014/04/20,4.66434170212366,1.07889270890919,51.7346938778647,12.7366205525217
"POINT (-756521.81320828 1884385.64659915)",08031006812,2014/04/20,4.66459061194145,1.07878458952891,51.73469387786,12.7366205525178
"POINT (-753085.412452384 1884967.06725848)",08031006813,2014/04/20,4.66425531950365,1.07893351129646,51.7346938778656,12.7366205525224
"POINT (-753732.692234547 1884038.34958335)",08031006814,2014/04/20,4.66426076701246,1.07892948235031,51.7346938778659,12.7366205525227
"POINT (-756697.076672247 1885941.55253596)",08031006901,2014/04/20,5.04524179016387,1.10911670082216,51.7346938777745,12.7366205524476
"POINT (-752588.984581444 1883333.57572124)",08031007006,2014/04/20,4.6642398698434,1.07893907047761,51.3690476193002,13.0019668141799
"POINT (-755130.496890958 1887035.17791744)",08031007013,2014/04/20,5.04485834752249,1.10923470852592,51.7346938777532,12.7366205524301
"POINT (-752689.263510968 1888931.94347074)",08031007037,2014/04/20,5.04459848549029,1.10934890468732,51.4285714287714,13.0019668141056
"POINT (-754592.938587935 1888966.89956221)",08031007088,2014/04/20,5.04469766818307,1.10900285176652,51.7346938769084,12.7366205517363
"POINT (-753687.337351927 1889201.23122368)",08031007089,2014/04/20,5.04458394796898,1.10920247197318,51.7346938774546,12.7366205521849
"POINT (-749263.823202497 1898759.43454961)",08031008304,2014/04/20,5.04688175320787,1.10819820726613,51.4081553908825,12.7366310087172
"POINT (-748169.954159022 1898716.82389777)",08031008305,2014/04/20,5.0454783435902,1.10896856962962,51.4081553909769,12.7366310088018
"POINT (-749082.402010518 1897827.54732521)",08031008306,2014/04/20,5.04581991151988,1.10877067872118,51.4081553909149,12.7366310087462
"POINT (-748497.883288708 1896791.72759689)",08031008312,2014/04/20,5.04502448634538,1.10920547625511,51.4285714288199,13.0019668141561
"POINT (-747023.807996884 1898338.45866855)",08031008386,2014/04/20,5.04487629824029,1.10929534475503,51.428571428841,13.001966814178
"POINT (-747559.132937362 1897498.09205528)",08031008387,2014/04/20,5.04489544592403,1.10928292765659,51.4285714288382,13.0019668141751
"POINT (-745106.670868051 1897505.61964328)",08031008388,2014/04/20,5.0446508647744,1.10941744588581,51.4285714288427,13.0019668141798
"POINT (-741783.942418516 1897674.25958747)",08031008389,2014/04/20,5.04462407726623,1.10943199668469,51.4285714288428,13.0019668141799
"POINT (-742792.008079102 1896225.03094712)",08031008390,2014/04/20,5.04462458570815,1.10943171042777,51.4285714288428,13.0019668141799
"POINT (-741241.354541087 1895965.47696365)",08031008391,2014/04/20,5.04462334585242,1.10943238895749,50.9285714287082,13.3734515805398
"POINT (-769290.120551082 1885522.02991569)",08031011902,2014/04/20,5.04806950686653,1.10205103022197,51.6121968389122,12.7366004464351
"POINT (-770367.388350482 1886255.01940178)",08031011903,2014/04/20,5.04897192915812,1.10638163703451,51.6120654986958,12.7365037678343
"POINT (-769537.811928536 1883803.10427262)",08031012001,2014/04/20,5.04039282740522,1.08618505953322,51.6121452539123,12.7365624753782
"POINT (-770421.829870191 1881862.16831146)",08031012010,2014/04/20,5.03408586226283,1.0632297111108,51.6119907466759,12.7364486153062
"POINT (-772592.429619623 1882641.51136204)",08031012014,2014/04/20,5.04268065253517,1.10335095307487,51.5976246075375,12.7257667637116
"POINT (-757362.729133528 1889410.07833894)",08031015300,2014/04/20,5.04967850502343,1.10485744136294,51.6785660529532,12.5376188329966
"POINT (-766431.434522805 1899666.92413428)",08031015400,2014/04/20,4.88602920145157,0.913597828030226,51.5909223930308,12.7182480748577
"POINT (-758275.794930074 1888264.36014343)",08031015500,2014/04/20,5.05343733302132,1.10552943341315,51.6785660779893,12.5376188512501
"POINT (-765062.6205586 1886581.5785536)",08031015600,2014/04/20,5.08741333825533,1.09720605867919,51.6785660725869,12.5376188488
"POINT (-766969.708196466 1885526.48481089)",08031015700,2014/04/20,5.05445567052361,1.0958232602269,51.6785653930997,12.5376184181621
"POINT (-735643.807088432 1904746.17157335)",08031980000,2014/04/20,5.59060793056419,1.23010375630184,50,16.7168144746226
"POINT (-750609.019967399 1898069.6042623)",08031980100,2014/04/20,5.04914323824662,1.10688582863589,51.4081553897226,12.7366310076771
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/05/04,4.0391384951045,0.823420568362234,53.4023892102353,6.95799367156063
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/05/04,3.73424196988099,0.19696968269895,52.5670116439962,1.75477705601111
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/05/04,3.75396762251902,0.0675137635994287,52.4253542947265,0.589933091590042
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/05/04,4.13347060052943,0.824864806752695,53.4284718151953,7.0743188607007
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/05/04,4.34179927488235,0.937531992461673,53.7500141494863,8.28343870897458
"POINT (-765696.909156819 1896944.11740915)",08031000303,2014/05/04,4.35907662772582,0.74715730743704,53.3891115806443,6.89773571263685
"POINT (-764415.203035787 1897831.78048707)",08031000401,2014/05/04,3.95213324916116,0.296819976885781,52.675321576246,2.58982013974276
"POINT (-764473.464326395 1896726.85312604)",08031000402,2014/05/04,4.35439362285182,0.485117779978315,53.0423487316294,5.06490812748889
"POINT (-766976.98717412 1895598.70605012)",08031000501,2014/05/04,4.70004147050194,0.879973255694259,53.9386521176581,8.79762517392298
