GEOID,total_crimes,total_violent,total_property,avg_total_crimes,avg_violent_crimes,avg_property_crimes,pop,crime_rate,violent_rate,property_rate
20110317,1,NA,1,4.367384373498712e-5,NA,4.367384373498712e-5,1,0.04367384373498712,NA,0.04367384373498712
20111012,4172,NA,4172,0.18220727606236625,NA,0.18220727606236625,1,182.20727606236625,NA,182.20727606236625
20111017,123,NA,123,0.005371882779403416,NA,0.005371882779403416,1,5.371882779403416,NA,5.371882779403416
20120101,10687,NA,10687,0.4667423679958073,NA,0.4667423679958073,-3.5294117647058822,NA,NA,NA
20120222,4073,NA,4073,0.1778835655326025,NA,0.1778835655326025,1,177.88356553260252,NA,177.88356553260252
20120501,81,NA,81,0.003537581342533956,NA,0.003537581342533956,-6,NA,NA,NA
20120718,12,NA,12,5.240861248198454e-4,NA,5.240861248198454e-4,1,0.5240861248198454,NA,0.5240861248198454
20120815,25,NA,25,0.0010918460933746778,NA,0.0010918460933746778,1,1.0918460933746779,NA,1.0918460933746779
20121201,481,NA,481,0.021007118836528803,NA,0.021007118836528803,1,21.007118836528804,NA,21.007118836528804
20121206,42,NA,42,0.0018343014368694588,NA,0.0018343014368694588,1,1.8343014368694588,NA,1.8343014368694588
20130201,12,NA,12,5.240861248198454e-4,NA,5.240861248198454e-4,1,0.5240861248198454,NA,0.5240861248198454
20130305,6087,NA,6087,0.26584268681486656,NA,0.26584268681486656,1,265.84268681486657,NA,265.84268681486657
20130307,108,NA,108,0.004716775123378609,NA,0.004716775123378609,1,4.716775123378609,NA,4.716775123378609
20130322,28,NA,28,0.0012228676245796392,NA,0.0012228676245796392,1,1.2228676245796393,NA,1.2228676245796393
20130701,75,NA,75,0.003275538280124034,NA,0.003275538280124034,-6,NA,NA,NA
20130823,43,NA,43,0.001877975280604446,NA,0.001877975280604446,1,1.877975280604446,NA,1.877975280604446
20140101,85,NA,85,0.003712276717473905,NA,0.003712276717473905,-2.5,NA,NA,NA
20140201,16,NA,16,6.987814997597939e-4,NA,6.987814997597939e-4,-6,NA,NA,NA
20140228,3882,NA,3882,0.16954186137921998,NA,0.16954186137921998,1,169.54186137921997,NA,169.54186137921997
20140806,4,NA,4,1.7469537493994847e-4,NA,1.7469537493994847e-4,1,0.17469537493994847,NA,0.17469537493994847
20150213,5709,NA,5709,0.24933397388304146,NA,0.24933397388304146,1,249.33397388304147,NA,249.33397388304147
20150804,15,NA,15,6.551076560248068e-4,NA,6.551076560248068e-4,1,0.6551076560248068,NA,0.6551076560248068
ADAMS,21268,3929,17339,0.928855308555706,0.17159453203476438,0.7572607765209416,78351.83333333333,0.011854927562499572,0.00219005126918661,0.009664876293312962
AIMS,18,NA,18,7.861291872297681e-4,NA,7.861291872297681e-4,1,0.7861291872297681,NA,0.7861291872297681
ALAMOSA,269,51,218,0.011748263964711535,0.002227366030484343,0.00952089793422719,6774.4,0.0017342146853908146,3.287916318027195e-4,0.001405423053588095
