WKT,GEOID,week_ending,biweekly_average_o3_pred,biweekly_average_o3_var
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/07/13,59.6191860957351,19.5009612108473
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/07/27,58.1734693872663,13.0114238998124
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/08/10,55.8119443462448,14.8157034284546
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/08/24,52.9999999996672,16.2112369077662
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/09/07,48.0588473573062,24.5942635084682
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/09/21,44.7365703569924,23.6556440715112
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/10/05,45.4612564804995,25.7076510592964
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/10/19,41.6107056977973,37.2168188006454
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/11/02,39.1544468490247,23.2622638059581
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/11/16,32.6122448979592,28.933452028348
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/11/30,37.57529863005,29.1057005783449
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/12/14,23.9656879265019,96.368765217544
"POINT (-757599.442313717 1887575.74397904)",08031005102,2014/12/28,29.0713222329758,50.8013835176043
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/01/12,35.3986259660272,59.4648659894977
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/01/26,41.013720453361,40.6926427826441
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/02/09,34.8900277903986,38.5909526632112
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/02/23,39.573061660593,14.3029299489832
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/03/09,38.1826773861382,24.8047552748326
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/03/23,47.33928570175,11.7683893012807
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/04/06,50.428560343502,10.196332755011
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/04/20,51.6785660892442,12.5376188594559
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/05/04,54.2388608381201,9.12753942710776
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/05/18,49.5897993099308,19.544591216599
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/06/01,53.5084784130377,16.2805104821186
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/06/15,54.255548416547,14.3965555972036
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/06/29,55.3660714285714,14.8735490609749
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/07/13,59.6301850571389,19.2370032909947
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/07/27,57.95535184617,12.8081246010337
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/08/10,55.6159608804338,14.6737146212305
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/08/24,52.7767777167804,15.9579475942868
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/09/07,47.5991262294381,24.3217088549311
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/09/21,44.3175952907228,23.4280759252212
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/10/05,45.4325641965126,25.4618608564833
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/10/19,41.4993814314518,36.8952550405975
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/11/02,39.1668781330919,23.0726922485118
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/11/16,32.7327912300915,28.5365367579504
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/11/30,37.6863499554647,28.8514744605048
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/12/14,23.9045720102568,95.3483020887987
"POINT (-758358.38989687 1887334.16492217)",08031005104,2014/12/28,28.9477774203808,50.4275426775957
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/01/12,36.2778707971738,60.805431651908
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/01/26,40.9200680272109,41.0282476749613
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/02/09,35.1840949055857,39.1778846068075
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/02/23,39.5782512101967,14.6721693060832
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/03/09,38.0554264806366,25.1938106282068
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/03/23,47.1938775510204,11.9551891222271
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/04/06,50.3673469368549,10.3581708163194
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/04/20,51.7346938771986,12.7366205519746
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/05/04,54.3672758652976,9.2637923625852
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/05/18,49.5643638089191,19.7716491346074
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/06/01,53.6422383120163,16.5064010633089
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/06/15,54.3237031876534,14.6168570570379
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/06/29,55.1836734693878,15.1096371413078
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/07/13,59.6205048610097,19.5037300291924
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/07/27,58.1734693876586,13.0114239002655
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/08/10,55.8010637211691,14.8836456087966
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/08/24,52.9999999999308,16.2112369085971
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/09/07,48.0577095172263,24.6571489616404
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/09/21,44.7350750447261,23.7415388327161
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/10/05,45.452216597701,25.8127961037051
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/10/19,41.6104848866521,37.3912258709605
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/11/02,39.1810241189271,23.3808338697075
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/11/16,32.6122448979592,28.933452028348
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/11/30,37.560041023062,29.2978610995002
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/12/14,24.2093312017165,98.2526780882621
"POINT (-756591.547238632 1887243.46064427)",08031005200,2014/12/28,29.3722652113322,51.2870708093714
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/01/12,36.2778707971738,60.805431651908
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/01/26,40.9200680272109,41.0282476749613
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/02/09,35.2109442851353,39.1908578550826
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/02/23,39.685965724053,14.3753500592209
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/03/09,38.1468569033805,24.9010044929592
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/03/23,47.1938775510204,11.9551891222271
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/04/06,50.3673469376146,10.3581708167772
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/04/20,51.7346938773802,12.7366205521238
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/05/04,54.3672988603915,9.26381969791782
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/05/18,49.5643638089191,19.7716491346074
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/06/01,53.6382185493309,16.4995063603541
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/06/15,54.3137730441476,14.4574981711811
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/06/29,55.1836734693878,15.1096371413078
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/07/13,59.6206827171018,19.5040863899468
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/07/27,58.1734693876901,13.0114239003018
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/08/10,55.7312214656218,14.7691794321129
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/08/24,52.9999999999509,16.2112369086605
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/09/07,48.043242646371,24.5521358221172
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/09/21,44.7283976068246,23.5973152669042
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/10/05,45.4159088579767,25.6360291932165
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/10/19,41.6290159265847,37.0963390239502
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/11/02,39.1611071186049,23.1795554589939
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/11/16,32.6122448979592,28.933452028348
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/11/30,37.6061070598008,28.9688206248271
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/12/14,24.3037645535736,96.1590598780389
"POINT (-758506.949258431 1886123.80839724)",08031005300,2014/12/28,29.4065329994729,51.2956493668338
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/01/12,34.7166354892152,49.8007177701066
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/01/26,40.7675221959496,38.0601170619629
"POINT (-767841.666685376 1883859.32735311)",08031005502,2014/02/09,33.4911185171237,33.7585865037071
