WKT,GEOID,week_ending,biweekly_average_pm_pred,biweekly_average_pm_var
"POINT (-755495.629770261 1896998.26029289)",08031004102,2014/11/30,7.029193350423,1.67744890344484
"POINT (-755495.629770261 1896998.26029289)",08031004102,2014/12/14,15.4745493820004,9.55481834229501
"POINT (-755495.629770261 1896998.26029289)",08031004102,2014/12/28,9.83684499708084,3.52150423089796
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/01/12,10.8966934036323,9.68662517667792
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/01/26,6.06230052102539,1.81521328287377
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/02/09,16.7797127761523,28.6939590559271
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/02/23,12.6024876551846,20.9335733784827
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/03/09,9.82784447028855,2.36188951475805
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/03/23,3.87588547530009,0.764774017086162
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/04/06,5.45817753574992,1.20576847076782
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/04/20,5.00667466593459,1.06193703143722
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/05/04,4.33468564197563,1.08710954189067
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/05/18,5.1919799187829,0.455658818825681
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/06/01,6.45834122206533,0.695596158510189
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/06/15,7.53497593787211,1.11612020718215
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/06/29,7.07671164662173,0.231180636820228
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/07/13,10.0838142768647,4.36238863411285
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/07/27,8.51303357409998,1.16094191000214
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/08/10,7.14299150008827,1.5238748273325
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/08/24,7.15052480790792,0.731881832811956
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/09/07,5.93099533437264,1.30391053659763
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/09/21,6.23060462018817,1.65150912303332
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/10/05,6.77607014834981,1.10928374074314
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/10/19,6.67138150639495,1.93089993538412
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/11/02,8.82890894319553,2.78050603880281
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/11/16,8.12876447989045,6.56674564776407
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/11/30,6.69671246141395,1.50056578246697
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/12/14,15.1086994216276,9.12156682243269
"POINT (-757247.441971463 1895305.21422783)",08031004103,2014/12/28,9.95351311247338,3.11649609211031
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/01/12,10.9364422481005,9.86183216467601
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/01/26,6.06999163655528,1.83381206635158
"POINT (-755678.474263139 1895156.42807912)",08031004104,2014/02/09,16.6456860331616,31.5986278036196
