WKT,TRI_FACILITY_ID,FACILITY_NAME,CLASSIFICATION,total_ppy,total_tpy
"POINT (-774943.777287935 1875853.23991575)",80127SSCRC10570,VIASYSTEMS TECHNOLOGIES CORPLLC,TRI,0.37919464,0.00018959732
"POINT (-767528.288277248 1867684.89427743)",8012WBSTWY9681T,BESTWAY CONCRETE CO TITAN,TRI,0,0
"POINT (-767269.389991383 1867499.37804019)",8012WMRTNM9511T,MARTIN MARIETTA TITAN READY MIX,PBT,0.001742311186,8.71155593e-007
"POINT (-759158.406266356 1818586.0525899)",80132SYNTH1051S,DEPUY SYNTHES,PBT,0.0220021076,1.10010538e-005
"POINT (-759158.406266356 1818586.0525899)",80132SYNTH1051S,DEPUY SYNTHES,TRI,58.5811405938,0.0292905702969
"POINT (-765271.546846386 1863905.60621739)",8013WRDYMX5775A,READY MIXED CONCRETE - PLANT 13,PBT,0.0004188778,2.094389e-007
"POINT (-765271.546846386 1863905.60621739)",8013WRDYMX5775A,READY MIXED CONCRETE - PLANT 13,TRI,0,0
"POINT (-750659.970718071 1909659.68369815)",80201CHMRX10601,BASF CORP,TRI,72.0630091874,0.0360315045937
"POINT (-760660.621447653 1901293.65583225)",80201THMPS6030N,NORTHWEST PIPE CO,TRI,188.5091636604,0.0942545818302
"POINT (-763867.546133356 1892204.72321845)",80204CLFRN49SAG,CALIFORNIA EXPANDED METALS CO,PBT,0.00440924,2.20462e-006
"POINT (-763935.655841097 1893471.9255935)",80204LFRGW1151Q,MARTIN MARIETTA - QUIVAS READY MIX,PBT,0.005636772416,2.818386208e-006
"POINT (-763935.655841097 1893471.9255935)",80204LFRGW1151Q,MARTIN MARIETTA - QUIVAS READY MIX,TRI,1.2281276634,0.0006140638317
"POINT (-762570.417939248 1893950.08882965)",80204NTDST320WE,US DEPARTMENT OF THE TREASURY US MINT DENVER,PBT,0.00194888408,9.7444204e-007
"POINT (-762570.417939248 1893950.08882965)",80204NTDST320WE,US DEPARTMENT OF THE TREASURY US MINT DENVER,TRI,17.68766626,0.00884383313
"POINT (-764849.892669364 1892570.56358641)",80204RBNSN241W6,ROBINSON DAIRY LLC,TRI,0,0
"POINT (-762932.307088023 1893894.39188423)",80204RMNCX650WE,RMO INC,TRI,1.10231,0.000551155
"POINT (-761696.383658928 1896312.01899192)",80205RWLFL2763B,A R WILFLEY & SONS INC,TRI,0.05412562562,2.706281281e-005
"POINT (-757033.704285996 1897052.16827909)",80207THDLC4941E,KIK (DENVER) LLC,TRI,0.27998674,0.00013999337
"POINT (-768680.156709666 1894295.88590268)",80214LKWDB1325J,LAKEWOOD BRICK & TILE CO,TRI,0,0
"POINT (-774014.797886746 1894418.52128488)",80215CBSTR11308,TERUMO BCT STERILIZATION SERVICES INC,TRI,25.20321584,0.01260160792
"POINT (-761721.303974294 1899753.10864178)",80216CBTCN5301N,COBITCO INC,TRI,0,0
"POINT (-756201.058441303 1898122.67593669)",80216CLRDP4747H,COLORADO PAINT CO,TRI,94.5668662532,0.0472834331266
"POINT (-760009.875064569 1899767.64676062)",80216CMCBN5353F,CMC REBAR DENVER,TRI,0,0
"POINT (-760787.196144914 1897357.08180097)",80216CNGRF3750W,ARDENT MILLS LLC,TRI,0,0
"POINT (-760171.309730548 1898986.24279161)",80216CRYST5185N,CRYSTAL PACKAGING INC,TRI,0,0
"POINT (-761858.207284175 1897255.6573653)",80216CTYCC21013,REDDY ICE-DENVER (368),TRI,20.9549131,0.01047745655
"POINT (-758639.276149067 1897672.79697343)",80216DNVRM3100E,DENVER METAL FINISHING,PBT,0.60100586744,0.00030050293372
"POINT (-758639.276149067 1897672.79697343)",80216DNVRM3100E,DENVER METAL FINISHING,TRI,69.15011092,0.03457505546
"POINT (-756227.965601415 1897864.08621334)",80216FPLYM46HLL,EFI POLYMERS,TRI,22.28650358,0.01114325179
"POINT (-758155.389145128 1897767.79819745)",80216KBPCL3600E,KBP COIL COATERS INC,PBT,0.00116403936,5.8201968e-007
"POINT (-758155.389145128 1897767.79819745)",80216KBPCL3600E,KBP COIL COATERS INC,TRI,2.42067276,0.00121033638
"POINT (-762028.14900904 1900454.21041908)",80216KPPRS5601F,KOPPERS INC (DENVER CO),PBT,0.43434541392,0.00021717270696
"POINT (-762028.14900904 1900454.21041908)",80216KPPRS5601F,KOPPERS INC (DENVER CO),TRI,25.00700466,0.01250350233
"POINT (-759529.400495848 1901288.86128109)",80216PBLCS6198F,PUBLIC SERVICE CO OF COLORADO CHEROKEE STATION,Dioxin,0.00290127992,1.45063996e-006
"POINT (-759529.400495848 1901288.86128109)",80216PBLCS6198F,PUBLIC SERVICE CO OF COLORADO CHEROKEE STATION,PBT,26.16112323,0.013080561615
"POINT (-759529.400495848 1901288.86128109)",80216PBLCS6198F,PUBLIC SERVICE CO OF COLORADO CHEROKEE STATION,TRI,1684.0941604454,0.8420470802227
"POINT (-761062.887198108 1897876.21332016)",80216RDYMX4395W,READY MIXED CONCRETE CO - PLANT 1,PBT,0.001348566054,6.74283027e-007
"POINT (-761062.887198108 1897876.21332016)",80216RDYMX4395W,READY MIXED CONCRETE CO - PLANT 1,TRI,0,0
"POINT (-759369.02145846 1898088.88991053)",80216RLSTN4555Y,NESTLE PURINA PETCARE CO,PBT,0.00881848,4.40924e-006
"POINT (-759369.02145846 1898088.88991053)",80216RLSTN4555Y,NESTLE PURINA PETCARE CO,TRI,0,0
"POINT (-757637.706620734 1898465.18505828)",80216SHFRC4101E,SHAFER COMMERCIAL SEATING,TRI,19.0310073646,0.0095155036823
"POINT (-761795.087472031 1900430.96705979)",80216SHLND156W5,NEXEO SOLUTIONS LLC,TRI,45.32257796,0.02266128898
"POINT (-761708.958624469 1901644.06813345)",80216VNCBR38W62,VANCE BROTHERS INC,PBT,19.760890908,0.009880445454
"POINT (-761708.958624469 1901644.06813345)",80216VNCBR38W62,VANCE BROTHERS INC,TRI,5.93263242,0.00296631621
"POINT (-756268.419982623 1897452.57376841)",80216VNWTR4300H,UNIVAR USA INC DENVER,TRI,15.477090919994,0.007738545459997
"POINT (-761740.750580351 1899682.91504928)",80216WNSCR5201B,OWENS CORNING ROOFING & ASPHALT LLC,PBT,0,0
"POINT (-762236.030832427 1899862.73978169)",80216WNSCR5201F,OWENS CORNING ROOFING & ASPHALT LLC,PBT,0.121474562,6.0737281e-005
"POINT (-757675.300298406 1898120.93680005)",80216WRGHT4245E,WRIGHT & MCGILL CO,PBT,0,0
"POINT (-757675.300298406 1898120.93680005)",80216WRGHT4245E,WRIGHT & MCGILL CO,TRI,0,0
"POINT (-761304.481382582 1900903.32873772)",80216ZMMRM201EA,ZIMMERMAN METALS INC,TRI,0.91050806,0.00045525403
"POINT (-764782.071941267 1885206.71586763)",80217RBNSN1845W,GENERAL SHALE BRICK INC,TRI,496.20043726,0.24810021863
"POINT (-756989.609941462 1898231.85871558)",8021WBNDTD4799D,BAND IT IDEX INC,TRI,0.20062042,0.00010031021
"POINT (-759653.694849555 1898801.96438086)",8021WBSLTX49RAC,BASALITE,PBT,0.000767428222,3.83714111e-007
"POINT (-759203.879323177 1900901.71571497)",8021WBSTWY591YR,BESTWAY CONCRETE CO-DENVER,TRI,0,0
"POINT (-761669.221238861 1901344.26596521)",80221RCKYM301WE,ROCKY MOUNTAIN PRESTRESS LLC (ARCHITECTURAL PLANT),TRI,75.53469044,0.03776734522
"POINT (-762945.646079665 1887810.43665917)",80223GGRGT1751S,AGGREGATE INDUSTRIES WCR INC BANNOCK READY MIX PLANT,PBT,0.000881848,4.40924e-007
"POINT (-762945.646079665 1887810.43665917)",80223GGRGT1751S,AGGREGATE INDUSTRIES WCR INC BANNOCK READY MIX PLANT,TRI,0,0
"POINT (-763766.12561398 1888780.97462948)",80223LCTRM11WLU,ELECTRO-MECHANICAL PRODUCTS INC,TRI,0,0
"POINT (-764694.503677741 1892130.27592233)",80223MDNWS2390W,THERMAL SOLUTIONS MANUFACTURING INC.,PBT,0.0027778212,1.3889106e-006
"POINT (-764694.503677741 1892130.27592233)",80223MDNWS2390W,THERMAL SOLUTIONS MANUFACTURING INC.,TRI,0.00115522088,5.7761044e-007
"POINT (-763922.397089645 1886102.10654001)",80223PBLCS2601S,PUBLIC SERVICE COMPANY OF COLORADO ARAPAHOE STATION,PBT,10.118858351888,0.005059429175944
"POINT (-763922.397089645 1886102.10654001)",80223PBLCS2601S,PUBLIC SERVICE COMPANY OF COLORADO ARAPAHOE STATION,TRI,1398.82477614,0.69941238807
"POINT (-763354.191119883 1886132.58209937)",80223PWRNG2525S,POWER ENGINEERING CO,PBT,1.56069899964,0.00078034949982
"POINT (-763354.191119883 1886132.58209937)",80223PWRNG2525S,POWER ENGINEERING CO,TRI,9.30129178,0.00465064589
"POINT (-762970.941543517 1887579.82704387)",80223RJRCR183SB,RJR CIRCUITS INC,PBT,0.2462340078,0.0001231170039
